0,36936732223,Aurelia,Fortner,1980-09-07,1,Claxton
1,44424159124,Harold,Dorman,1976-01-05,5,Pleasant Mills
2,96819895628,Delmer,Lamm,2007-06-08,1,Alexandria
3,27401364709,Everette,Sides,1995-04-27,3,Worcester
4,18743531574,Debi,Hutchens,1956-09-06,5,Des Moines
5,15708127681,Marianna,Gearhart,1967-02-19,2,Oakdale
6,66931948283,Eldon,Archie,1977-06-06,4,South Wellfleet
7,83539429278,Jacquelyn,Pate,1959-11-27,4,Savannah
8,65662945664,Hugh,Creel,2004-02-11,4,Black River
9,39720111010,Jess,Cortes,1961-05-18,0,Drumore
10,10381108320,Carmella,Hansen,1975-03-22,1,Pinebluff
11,80914656547,Selena,Way,1955-10-22,0,Mobile
12,51042148342,Gerry,Conners,1973-04-24,3,Chandler
13,39150967991,Monica,Hess,1982-05-27,5,Sulphur
14,78078843239,Theresa,Luna,1955-10-02,1,Port Crane
15,99262068633,Winford,Keck,1949-05-14,4,Bothell
16,43437900383,Lakisha,Godfrey,1943-01-10,5,Sacramento
17,29116958259,Floy,Holliday,1945-02-15,4,Laings
18,71386234828,Coleen,Atchison,1971-09-06,3,Limerick
19,11781096933,Verla,Furr,1992-08-01,2,Fort Wayne
20,96981065265,Brianna,Hammond,1959-11-02,3,Leland
21,93048786774,Huey,Lindstrom,1979-02-26,2,Clearwater
22,49495514781,Josette,Hailey,1993-09-29,0,Carlisle
23,24939664795,Malissa,Kenny,1990-07-10,0,Dallas
24,44286896866,Oren,Salerno,2006-03-06,2,Fairview
25,52720851172,Cliff,Winston,1949-12-03,3,Plumville
26,67125874677,Alva,Ramon,1952-10-30,2,Nephi
27,24822248361,Moses,Stpierre,1998-12-24,2,Fair Lawn
28,62723208318,Eusebio,Zambrano,1984-10-19,3,House Springs
29,85258240578,Mack,Rupp,1953-11-04,4,Uledi
30,58853417066,Morgan,Pickett,1943-05-20,2,Jacksonville
31,80545396719,Gilda,Dunaway,1978-07-21,4,Lupton
32,60267748640,Alyce,Oconnor,1960-03-21,4,Big Spring
33,58020124436,Sid,Gant,1995-06-27,0,Enid
34,57662675446,Karla,Moultrie,1960-11-17,1,Heber Springs
35,88272338940,Hope,Canfield,1943-06-22,5,Cabin John
36,48089783495,Elton,Ayala,1986-02-04,2,Easton
37,73098530180,Ricardo,Bledsoe,1999-11-01,0,Fort Myers
38,28901078917,Charles,Marino,1945-05-29,1,Foster City
39,88116515325,Nathanial,Anderson,1968-05-19,5,Lake Pleasant
40,97174504070,Maria,Worrell,1979-01-01,2,Kempner
41,35862895819,Daron,Andersen,1999-05-10,1,Van Dyne
42,73006198695,Dewayne,Mcconnell,1954-08-05,2,Houston
43,51171769443,Candace,Bunch,1973-07-16,2,Harlem
44,38164713658,Vernell,Furman,1943-10-24,0,Pilot Point
45,75594026215,Alphonse,Hills,1979-12-29,2,Elizabethville
46,65875202906,Johnna,Dubose,1960-01-23,2,Hubbard
47,47946127723,Lenore,Kilgore,1991-10-08,0,Winona Lake
48,76343870923,Joelle,Walling,1973-06-14,4,Hartford
49,86511027914,Rey,Franz,1950-06-08,5,Fort Myers Beach
50,40786910376,Rueben,Copley,1957-10-30,1,Flat Rock
51,25443196944,Jerrold,Snow,1969-05-28,1,Stockton
52,63841131912,Kenny,Stiles,1960-09-04,0,Pomona
53,91932621992,Consuelo,Rector,1987-12-06,4,Bayard
54,47176657158,Bo,Ives,1959-05-11,3,Cincinnati
55,49438951651,Cathrine,Tom,1967-11-20,1,Memphis
56,74830193802,Antoine,Nowlin,1971-09-11,1,Weesatche
57,43836566797,Josefina,Irizarry,1969-09-26,5,Germantown
58,21916104750,Andres,Skidmore,1958-06-02,2,Upsala
59,78398792148,Darrick,Runyon,1991-03-20,3,Henriette
60,68460290497,Jesse,Toler,1965-06-16,1,Center Point
61,93646046906,Gordon,Nichols,1944-01-11,3,West Nyack
62,84471376285,Ivan,Hensley,1968-07-30,5,Louisville
63,89166426425,Wm,Knowles,1944-10-25,5,Duke Center
64,69614941651,Jennifer,Mattox,1961-02-19,3,Struthers
65,89806801339,Quincy,Bates,1939-03-28,5,Paterson
66,10442066565,Mike,Huddleston,1991-01-16,1,Frederic
67,88014893158,Wyatt,Trout,1965-02-11,1,Glade Valley
68,62558329334,Milton,Mclaughlin,1999-09-22,4,Lake Worth
69,19445087367,Jolene,Embry,1956-01-29,1,Wayland
70,24228752182,Lola,Almeida,1964-02-08,4,Green Bay
71,30874083330,Venessa,Turpin,1948-04-19,0,Jayton
72,14399425802,Jennifer,Redding,1978-07-28,4,Lane
73,18337861293,Christy,Chalmers,1980-01-08,4,Tuscaloosa
74,55739842568,Ed,Schneider,1966-07-24,0,Mountain Park
75,58325892858,Carey,Luciano,1987-06-01,1,Cannon Falls
76,30945486836,Shonda,Holt,1988-04-20,1,Ulm
77,90178649705,Valarie,Lindsey,1989-03-23,1,Waterford
78,36995512533,Jenna,Schmitz,1999-10-05,4,Arnegard
79,65859238609,Lonnie,Olivas,1977-07-12,5,Brentwood
80,26963899498,Leone,Denning,2001-06-16,5,Bedford
81,38654416636,Herbert,Shipley,1961-07-18,2,Flagler Beach
82,14227978647,Francis,Kinard,1949-05-16,2,Baltimore
83,97758732735,Sonia,Barger,1997-11-01,3,Pound
84,23453752559,Rodger,Andrew,1973-05-21,4,Beaverton
